sentence,potential_action,potential_sub_atmos,potential_scene
A tranquil tableau of alley,"{'lying on the ground', 'standing in an alleyway', 'holding a gun', 'wearing a hoodie', 'walking down the alleyway with the stroller', 'hanging on the wall', 'filled with a variety of decorative items', 'looking around nervously', 'hanging from the ceiling', 'parked in the middle of it', 'moving the cart', 'walking down it', 'lined up in a row', 'filled with colorful flowers and potted plants', 'hugging each other', 'kissing in an alleyway', 'playing with a water gun', 'part of a performance or a dance routine'}","{'presence of a dog', 'colorful and eye-catching costumes', 'deserted and abandoned place', 'illuminates the pathway', 'an empty space', 'appear to be newlyweds', 'celebrating something', 'a friendly and heartwarming moment between friends', 'appears to be walking alone', 'deserted', 'having a lot of fun', 'an event or a celebrity to arrive', 'relaxed and comfortable in its surroundings', 'a beautiful and peaceful place', 'an urban environment with a lot of garbage scattered around', 'waiting for something or someone', 'a state of distress'}","{'a narrow alley', 'a narrow alleyway', 'an alleyway'}"
sentence,potential_action,potential_sub_atmos,potential_scene
A tranquil tableau of barn,"{'standing in a barn surrounded by hay', 'walking around', 'looking directly at the camera', 'laying on the ground', 'walking inside', 'in a barn', 'eating hay', 'playing with a cow in a barn', 'dancing together', 'dancing in a barn while wearing cowboy boots', 'being together in the barn', 'dancing together in a barn', 'dancing and having fun', 'dancing in a barn', 'opening the door of a barn', 'grazing on hay', 'wearing casual clothing', 'holding a bottle of champagne', 'playing with a reindeer', 'sitting at a table', 'wearing cowboy hats and boots'}","{'appear to be having a good time', 'appears to be having a good time', 'having a good time', 'appears to be a farmer', 'waiting for something', 'a lively and joyful scene', 'fun and lively performance', 'appears to be having a lot of fun', 'having fun', 'attending a wedding', 'a lively and energetic performance', 'being kept in the barn for some purpose', 'relaxed and peaceful scene', 'calm and relaxed in their surroundings', 'being raised for meat production', 'a fun and lively atmosphere', 'a wedding reception', 'farm setting', 'preparing for a shooting competition', 'having a great time', 'enjoying themselves'}","{'a barn', 'inside a barn', 'dancing in a barn'}"
sentence,potential_action,potential_sub_atmos,potential_scene
a bird and a cat,"{'making a funny sound', 'has a surprised expression', 'wearing a collar', 'enjoying a meal together', 'sitting at a table', 'looking at the camera'}","{'surprised by something', 'having a good time as they eat and interact with each other', 'enjoying the attention', 'enjoying the attention it is getting from the camera'}","{'a cartoon cat', 'a meal with cats', 'a cat'}"
sentence,potential_action,potential_sub_atmos,potential_scene
a chair and a couch,"{'looking around', 'wearing a lace top', 'sitting on top of another woman', 'sleeping on a couch', 'posing in front of a mirror', 'lying on a couch', 'sitting on a couch', 'sitting on the couch', 'set on fire'}","{'enjoying its time on the couch', 'appears to be a living room', 'enjoying its nap', 'complete destruction', 'romantic or intimate scene', 'appears to be looking at herself in the mirror', 'enjoying herself'}","{'a room with a chair and a couch in it', 'a couch', 'a room with a couch and a chair'}"
sentence,potential_action,potential_sub_atmos,potential_scene
a couch and a potted plant,"{'looking around', 'sitting on top of another woman', 'sleeping on a couch', 'reading it', 'lying on a couch', 'sitting on a couch', 'holding a book', 'set on fire', 'talking into a microphone'}","{'enjoying its time on the couch', 'discussing something', 'enjoying its nap', 'romantic or intimate scene', 'complete destruction', 'appears to be reading it', 'enjoying herself'}","{'a couch', 'sitting on a couch in a room with plants and a window', 'sitting on a couch with a plant'}"
sentence,potential_action,potential_sub_atmos,potential_scene
